"Title","Announcement Type","Service Category","Product Capability","Detail","Link","Date","Release Type"
"External ID regional expansion to Australia and Japan","New feature","B2C - Consumer Identity Management","B2B/B2C","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:B2B/B2C We’re expanding Microsoft Entra External ID toAustraliaandJapanwithGo‑Local add‑onthat keeps External ID datastored and processed in location. This premium add‑on is selectable when you create a new External ID tenant and is designed for organizations with strictdata residencyrequirements. A small set of centralized platform services remains global (e.g., some MFA/RBAC functions), with no change to security or compliance posture.Get started:Create a new tenant inAustraliaorJapanand opt in to the add‑on or contact your Microsoft representative to discuss options for your existing environment. For more information, see:Microsoft Entra ID and data residency",,"November 2025","General Availability"
"New SCIM 2.0 SAP CIS connector available, with support for group provisioning","New feature","Enterprise Apps","Outbound to SaaS Applications","Type:New featureService category:Enterprise AppsProduct capability:Outbound to SaaS Applications An updated SCIM 2.0 SAP Cloud Identity Services (CIS) connector was released to the Microsoft Entra app gallery on September 30, 2025. It replaces our previous SAP CIS provisioning integration and now provides support for provisioning and deprovisioning groups to SAP CIS, custom extension attributes, and the OAuth 2.0 Client Credentials grant. For more information, see:Configure SAP Cloud Identity Services for automatic user provisioning with Microsoft Entra ID.",,"November 2025","General Availability"
"Externally determine the approval requirements for an access package using custom extensions","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management In Entitlement Management, approvers for access package assignment requests can either be directly assigned, or determined dynamically. Entitlement management natively supports dynamically determining approvers such as the requestors manager, their second-level manager, or a sponsor from a connected organization. With the introduction of this feature you can now use custom extensions for callouts to Azure Logic Apps and dynamically determine approval requirements for each access package assignment request based on your organizations specific business logic. The access package assignment request process will pause until your business logic hosted in Azure Logic Apps returns an approval stage which will then be leveraged in the subsequent approval process via the My Access portal. For more information, see:Externally determine the approval requirements for an access package using custom extensions.",,"November 2025","Public Preview"
"Support for eligible group memberships and ownerships in Entitlement Management access packages","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management This integration between Entitlement Management and Privileged Identity Management (PIM) for Groups adds support for assigning eligible group memberships and ownerships via access packages. You are now able to govern these just-in-time access assignments at scale by offering a self-service access request & extension process and integrate them into your organization's role model. For more information, see:Assign eligible group membership and ownership in access packages via Privileged Identity Management for Groups.",,"November 2025","General Availability"
"Reprocess failed users and workflows in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Lifecycle Workflows now supports reprocessing of your workflows to help organizations streamline the reprocessing of workflows when errors or failures are discovered. This feature includes the ability to reprocess previous runs of workflows including failed runs or just runs that you may want to process again. Customers can choose from the following options to fit their needs: • Select specific workflow run to be reprocessed • Select which users from the workflow run to be reprocessed e.g. failed users or all users from the run For more information, seeReprocess workflows.",,"November 2025","General Availability"
"Groups Purview sensitivity label support in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Customers can now view Purview sensitivity labels assigned to groups and Teams in Lifecycle Workflows. When configuring workflow tasks for managing group or Teams assignments, admins will now see actively assigned sensitivity labels to support informed group selection decisions. This helps customer achieve stronger organizational compliance. For more information seeSensitivity Labels in Lifecycle Workflows.",,"November 2025","General Availability"
"Trigger workflows for inactive employees and guests in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Lifecycle Workflows now enables customers to configure custom workflows to proactively manage dormant user accounts by automating identity lifecycle actions based on sign‑in inactivity. By detecting inactivity, the workflow automatically executes predefined tasks—such as sending notifications, disabling accounts, or initiating offboarding—when users exceed the inactivity threshold. Admins can configure the inactivity threshold and scope, ensuring dormant accounts are handled efficiently and consistently — reducing security exposure, reducing license waste, and enforcing governance policies at scale. For more information, see:Manage inactive users using Lifecycle Workflows.",,"November 2025","General Availability"
"Passkey profiles in Microsoft Entra ID","Changed feature","Authentications (Logins)","User Authentication","Type:Changed featureService category:Authentications (Logins)Product capability:User Authentication Microsoft Entra ID now supports group‑based passkey (FIDO2) configurations, enabling separate rollouts of different types of passkeys to different sets of users. For more information, seeHow to Enable Passkey (FIDO2) Profiles in Microsoft Entra ID (Preview).",,"November 2025","Public Preview"
"Soft Deletion for Cloud Security Groups","New feature","Group Management","Identity Security & Protection","Type:New featureService category:Group ManagementProduct capability:Identity Security & Protection Soft deletion for cloud security groups introduces a safety mechanism that allows administrators to recover deleted groups within a30‑day retention period. When a cloud security group is deleted, it is not immediately removed from the directory; instead, it enters a soft‑deleted state, preserving its membership and configuration. This feature helps prevent accidental data loss and supports business continuity by enabling quick restoration of groups without requiring manual recreation. Administrators can restore soft‑deleted groups through the Microsoft Entra admin center or Microsoft Graph API during the retention window.",,"November 2025","Public Preview"
"End user experience for managing agent identities","New feature","Other","End User Experiences","Type:New featureService category:OtherProduct capability:End User Experiences The Manage agents end user experiences lets you view, and control, agent identities you own or sponsor. With the manage agents feature, you can easily see which agents you’re responsible for, review their details, and take action to enable, disable, or request access for them. Learn more:Manage Agents in end user experience (Preview).",,"November 2025","Public Preview"
"Conditional Access for Agents","New feature","Conditional Access","Identity Security & Protection","Type:New featureService category:Conditional AccessProduct capability:Identity Security & Protection Conditional Access for Agent ID is a new capability in Microsoft Entra ID that brings Conditional Access evaluation and enforcement to AI agents. This capability extends the same Zero Trust controls that already protect human users and apps to your agents. Conditional Access treats agents as first‑class identities and evaluates their access requests the same way it evaluates requests for human users or workload identities, but with agent‑specific logic.",,"November 2025","Public Preview"
"Agent identity sponsor lifecycle support in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Managing agent identity sponsors is key for lifecycle governance and access control of agent identities. Sponsors oversee agent identities' lifecycles and access. Lifecycle Workflows now automates and streamlines sponsor lifecycle management by notifying managers and co‑sponsors when a sponsor changes roles or leaves the organization. Keeping sponsor information accurate and current ensures effective governance and compliance. For more information, see:Agent identity sponsor tasks in Lifecycle Workflows (Preview).",,"November 2025","Public Preview"
"Microsoft Entra agent registry","New feature","Other","Platform","Type:New featureService category:OtherProduct capability:Platform Microsoft Entra agent registry is a centralized metadata store of all deployed agents in an organization. As AI agents increasingly handle data retrieval, orchestration, and autonomous decision‑making, enterprises face rising security, compliance, and governance risks without clear visibility or control. Microsoft Entra agent registry, part of Microsoft Entra agent id, solves this by providing an extensible repository that delivers a unified view of every agent across Microsoft and non‑Microsoft ecosystems — enabling consistent discovery, governance, and secure collaboration at scale. For more information, see:What is the Microsoft Entra Agent Registry?.",,"November 2025","Public Preview"
"User centric access reviews including disconnected applications","New feature","Access Reviews","Identity Governance","Type:New featureService category:Access ReviewsProduct capability:Identity Governance This capability enables organizations to manage access reviews for applications that are not yet integrated with Microsoft Entra ID. For more information, see:Include custom data provided resource in the catalog for catalog user Access Reviews (Preview).",,"November 2025","Public Preview"
"User centric access reviews","New feature","Access Reviews","Identity Governance","Type:New featureService category:Access ReviewsProduct capability:Identity Governance User centric access reviews (UAR) provide a user‑centric review model that lets reviewers view a user’s access across multiple resources in a catalog in one unified view, streamlining the process of ensuring the right access at the right time. Resources include Entra groups, and both connected and disconnected (BYOD) applications, providing customers with a consolidated, holistic review experience.  For more information, see:Catalog Access Reviews (Preview).",,"November 2025","Public Preview"
"New experience for Entra account registration page on Windows","New feature","Device Registration and Management","User Authentication","Type:New featureService category:Device Registration and ManagementProduct capability:User Authentication We are introducing a new modernized user experience for the Entra account registration flow on Windows. The new user experience is updated to be consistent with Microsoft design patterns and splits the experience into two separate pages for registration and enrollment. We are also introducing a new admin property in public preview to control the MDM enrollment option in the account registration flow. This is targeted at customers who want to enable Windows MAM for their work or school accounts. The new setting controls the user experience screen for end users to MDM enroll in this flow. For more information, see:Set up automatic enrollment for Windows devices.",,"November 2025","Public Preview"
"Microsoft Entra ID with Entra Kerberos has added support for cloud‑only identities","New feature","Authentications (Logins)","User Authentication","Type:New featureService category:Authentications (Logins)Product capability:User Authentication Microsoft Entra ID with Entra Kerberos has added support for cloud-only identities which allows Entra-joined session hosts to authenticate and access cloud resources like Azure file shares and Azure virtual desktop without relying on traditional Active Directory infrastructure. This capability is essential for organizations adopting a cloud-only strategy, as it removes the need for domain controllers while preserving enterprise-grade security, access control, and encryption. For more information, see:Cloud only identity (Preview).",,"November 2025","Public Preview"
"Microsoft Entra ID Protection for Agents","New feature","Identity Protection","Identity Security & Protection","Type:New featureService category:Identity ProtectionProduct capability:Identity Security & Protection As organizations adopt, build, and deploy autonomous AI agents, the need to monitor and protect those agents becomes critical. Microsoft Entra ID Protection helps protect your organization by automatically detecting and responding to identity‑based risks on agents that use theMicrosoft Entra Agent IDplatform.",,"November 2025","Public Preview"
"Synced passkeys in Microsoft Entra ID","New feature","Authentications (Logins)","User Authentication","Type:New featureService category:Authentications (Logins)Product capability:User Authentication Microsoft Entra ID now supports synced passkeys stored in native and third‑party passkey providers. With this change, the passkey (FIDO2) authentication methods policy has been expanded to support group‑based configurations enabling separate rollouts of different types of passkeys. For more information on how to use this feature, seeHow to Enable Synced Passkeys (FIDO2) in Microsoft Entra ID (Preview)",,"November 2025","Public Preview"
"Unified Entra App Gallery","New feature","Enterprise Apps","Access Control","Type:New featureService category:Enterprise AppsProduct capability:Access Control Microsoft is enhancing Global Secure Access (GSA) with Integrated App Risk Insights, now in Preview. This new capability unifies Global Secure Access and the Microsoft Entra App Gallery—which now includes applications and risk scores from Microsoft Defender for Cloud Apps—into one unified, risk-aware experience. It allows organizations to discover, assess, and protect all their applications directly within the Microsoft Entra Admin Center. With this integration, organizations can evaluate app risk in real time and enforce access policies based on that risk. Admins can view each app’s risk score, compliance data, and configuration (SSO and provisioning) in the Entra App Gallery, while GSA applies Conditional Access and session controls based on the app’s risk level. What Customers Can Do: • Discover applications across their environment through Global Secure Access telemetry, including unmanaged or shadow IT. • Assess risk and compliance data in the Microsoft Entra app gallery. • Enforce Conditional Access and session policies in GSA, using real-time risk signals. This integration unifies app discovery, risk intelligence, and policy enforcement across the Microsoft Entra ecosystem — reducing blind spots, simplifying governance, and strengthening protection for every cloud app in use. The experience is now available in Preview within the Microsoft Entra Admin Center. To access this capability, you will need one of the following licenses: • Microsoft Entra Suite License • Microsoft Entra Internet Access License To learn more, see: • Microsoft Entra documentation • Microsoft Entra Global Secure Access • Microsoft Defender for Cloud Apps overview",,"November 2025","Public Preview"
"GSA Cloud Firewall for Remote Networks for Internet Traffic","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access Cloud Firewall (CFW), also known as Next Gen Firewall as a Service (FWaaS), can protect GSA customers from unauthorized egress access (like connections to the Internet networks) by monitoring and applying policies on the network traffic, providing centralized management, visibility, and consistent policies for branches. For more information, see:Configure Global Secure Access cloud firewall (preview).",,"November 2025","Public Preview"
"Secure Web and AI Gateway for Microsoft Copilot Studio Agents","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access As organizations adopt autonomous and interactive AI agents to perform tasks previously handled by humans, administrators need visibility and control over agent network activity. Global Secure Access for agents provides network security controls for Microsoft Copilot Studio agents, enabling you to apply the same security policies to agents that you use for users. With Global Secure Access for agents, you can regulate how agents use knowledge, tools, and actions to access external resources. You can apply network security policies including web content filtering, threat intelligence filtering, and network file filtering to agent traffic. For more information, see:Learn about Secure Web And AI Gateway for Microsoft Copilot Studio agents (preview).",,"November 2025","Public Preview"
"Internet traffic support over GSA remote network connectivity","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access Remote Network Connectivity enables secure,clientlessaccess to Microsoft 365 and internet resources from branch offices via IPsec tunnels. While Microsoft 365 traffic support is generally available, full internet access has now gone to public preview. Supporting full internet traffic was the top requests from remote network connectivity customers, including our own MSIT. For more information, see:How to create a remote network with Global Secure Access.",,"November 2025","Public Preview"
"GSA + Netskope ATP & DLP integration","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access In today's evolving threat landscape, organizations face challenges protecting sensitive data and systems from cyber attacks. Global Secure Access combines Entra Internet Access protections with Netskope's Advanced Threat Protection (ATP) and Data Loss Prevention (DLP) capabilities to deliver real-time protection against malware, zero-day vulnerabilities, and data leaks, and simplifies management through a unified platform. Microsoft’s SSE solution adopts an open platform approach, enabling integration with third-party companies, with Netskope being the first. For more information, see:Global Secure Access integration with Netskope's Advanced Threat Protection and Data Loss Prevention.",,"November 2025","General Availability"
"Entitlement Management Introduces Additional Approval Flows for Risky Users’ Access Package Requests Based on IRM and IDP Risk Signals","Changed feature","Entitlement Management","Entitlement Management","Type:Changed featureService category:Entitlement ManagementProduct capability:Entitlement Management Entitlement Management now supports risk-based approval escalation. When a user requesting an access package is flagged by Insider Risk Management or Identity Protection as requiring additional scrutiny, the request is automatically routed to designated security approvers for an extra approval step before access is granted. For more information see: IDP-Configure ID Protection-based approvals for access package requests in Entitlement Management (Preview) IRM-Configure Insider risk management-based approvals for access package requests in Entitlement Management (Preview)",,"November 2025","Public Preview"
"Microsoft Entra Internet Access TLS Inspection","Changed feature","Internet Access","Network Access","Type:Changed featureService category:Internet AccessProduct capability:Network Access Transport Layer Security (TLS) Inspection for Microsoft Entra Internet Access is now generally available, delivering deep visibility into encrypted traffic and advanced security controls. TLS Inspection provides the foundation for user-friendly block messages, full URL filtering, file policy enforcement, and prompt inspection with AI Gateway. Organizations can define flexible TLS inspection policies to specify which traffic to inspect, and which users or devices policies apply to. Custom rules offer granular control to intercept or bypass traffic based on destination FQDNs or web categories, while traffic logs provide detailed insights into matched policies and rules. Learn more fromWhat is Transport Layer Security Inspection?.",,"November 2025","General Availability"
"URL Filtering","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access This public preview allows you to configure URL filtering rules to granularly deny or allow access to full URLs (including hostname and full path). These rules are part of the existing web content filtering policy schema that allows security policies to become context-aware by linking a policy to a security profile to a conditional access policy. For more information, see:How to configure Global Secure Access web content filtering.",,"November 2025","Public Preview"
"Update to Revoke Multifactor Authentication Sessions","Plan for change","MFA","Identity Security & Protection","Type:Plan for changeService category:MFAProduct capability:Identity Security & Protection Starting February 2026, we are replacing the current “Revoke multifactor authentication sessions” button with the “Revoke sessions” button in the MicrosoftEntra portal. The legacy “Revoke MFA sessions” action only applies to per-user MFA enforcement, which has led to confusion. To simplify and ensure consistent behavior, the new “Revoke sessions” button will invalidate all user sessions, including MFA, regardless of whether MFA is enforced via Conditional Access or per-user policies. Action required Admins should update workflows and guidance to use “Revoke sessions” instead of “Revoke MFA sessions”. The “Revoke MFA sessions” option will be removed from the portal after this change.",,"October 2025","Plan for Change"
"Delegated Workflow Management in Lifecycle Workflows","New feature","Lifecycle Workflows","Identity Governance","Type:New featureService category:Lifecycle WorkflowsProduct capability:Identity Governance Lifecycle workflows can now be managed with Administrative Units (AUs), enabling organizations to segment workflows and delegate administration to specific admins. This enhancement ensures that only authorized admins can view, configure, and execute workflows relevant to their scope. Customers are able to associate workflows with AUs, assign scoped permissions to delegated admins, and ensure that workflows only impact users within their defined scope. For more information, see:Delegated workflow management (preview).",,"October 2025","Public Preview"
"App-based branding via Branding themes in Microsoft Entra External ID","New feature","B2C - Consumer Identity Management","B2B/B2C","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:B2B/B2C In Microsoft Entra External ID (EEID), customers can create a single, tenant-wide, customized branding experience that applies to all apps. We're introducing a concept of Branding ""themes"" to allow customers to create different branding experiences for specific applications. For more information, seehttps://learn.microsoft.com/en-us/entra/external-id/customers/how-to-customize-branding-themes-apps",,"October 2025","Public Preview"
"Expanded attribute support in Lifecycle Workflows attribute changes trigger","Changed feature","Lifecycle Workflows","Identity Governance","Type:Changed featureService category:Lifecycle WorkflowsProduct capability:Identity Governance The Attribute Changes trigger in Lifecycle Workflows now supports additional attribute types, enabling broader detection of organizational changes. Previously, this trigger was limited to a set of core attributes. With this update, you can configure workflows to respond when any of the following attributes change: • Custom security attributes • Directory extension attributes • EmployeeOrgData attributes • On-premises attributes 1–15 This enhancement gives administrators greater flexibility to automate lifecycle processes for mover events based on custom or extended attributes, improving governance for complex organizational structures and hybrid environments. For more information, see:Use Custom attribute triggers in lifecycle workflows (Preview).",,"October 2025","Public Preview"
"Sign-in with username/alias","New feature","B2C - Consumer Identity Management","B2B/B2C","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:B2B/B2C In Microsoft Entra External ID (EEID), users with a local email+password credential can sign in with email address as identifier.  We are adding the ability for these users to sign in with an alternative identifier such as customer/member id, for example insurance number, frequent flier number assigned via Graph API or Microsoft Entra admin center. For more information, seeSign in with an alias or username (preview).",,"October 2025","Public Preview"
"Iteration 2 beta APIs for Microsoft Entra PIM will be retired. Migrate to Iteration 3 APIs.","Deprecated","Privileged Identity Management","Identity Governance","Type:DeprecatedService category:Privileged Identity ManagementProduct capability:Identity Governance Introduction Starting Oct 28, 2026, all applications and scripts making calls to Microsoft Entra Privileged Identity Management (PIM)Iteration 2(beta) APIs for Azure resources, Microsoft Entra roles and Groups will fail. How this will affect your organization After Oct 28, 2026, any applications or scripts calling Microsoft Entra PIM Iteration 2 (beta) API endpoints will fail. These calls will no longer return data, which might disrupt workflows or integrations relying on these endpoints. These APIs were released in beta and are being retired, Iteration 3 are generally available (GA) APIs which offer improved reliability and broader scenario support. What you need to do to prepare We strongly recommend migrating to theIteration 3 (GA) APIs, which are generally available. • Begin migration planning and testing as soon as possible. • Halt any new development using Iteration 2 APIs. • Review documentation for Iteration 3 APIs to ensure compatibility. Learn more: • API concepts in Privileged Identity management - Microsoft Entra ID Governance | Microsoft Learn • Privileged Identity Management iteration 2 APIs • Migrate from PIM iteration 2 APIs to PIM iteration 3 APIs",,"October 2025","Deprecated"
"Soft Delete & Restore for Conditional Access Policies and Named Locations","New feature","Conditional Access","Identity Security & Protection","Type:New featureService category:Conditional AccessProduct capability:Identity Security & Protection We’re thrilled to announce thePublic Preview of soft delete and restore for Conditional Access (CA) policies and Named Locationsin Microsoft Entra. This new capability extends our proven soft delete model to critical security configurations acrossMicrosoft Graph APIs (in beta) and the Microsoft Entra Admin Center, helping admins recover from accidental or malicious deletions quickly and strengthen overall security posture. With this feature, admins can: • Restore deleted items to their exact prior state within 30 days • Review deleted items before restoring • Permanently delete when needed Soft delete has already been proven at scale across Microsoft Entra (7M+ objects restored in the last 30 days). Bringing it to CA policies and Named Locations ensure quick disaster recovery, minimizes downtime, and maintains security integrity.",,"October 2025","Public Preview"
"Suggested Access Packages can be shown to users in My Access","New feature","Entitlement Management","Entitlement Management","Type:New featureService category:Entitlement ManagementProduct capability:Entitlement Management In My Access, Microsoft Entra ID Governance users can see a curated list of suggested access packages in My Access. This capability allows users to quickly view the most relevant access packages for them based off their peers' access packages and previous assignments without scrolling through all their available access packages. The suggested access packages list is created by finding people related to the user (manager, direct reports, organization, team members) and recommending access packages based on what the users’ peers have. The user is also suggested access packages that were previously assigned to them. We recommend admins turn on the peer-based insights for suggested access packages via this setting. For more information, see:Suggested access packages in My Access",,"October 2025","General Availability"
"Conversion of external users to internal members","New feature","User Management","User Management","Type:New featureService category:User ManagementProduct capability:User Management External user conversion enables customers to convert external users to internal members without needing to delete and create new user objects. Maintaining the same underlying object ensures the user’s account and access to resources isn’t disrupted and that their history of activities remains intact as their relationship with the host organization changes. The external to internal user conversion feature includes the ability to convert on-premises synchronized users as well.",,"October 2025","General Availability"
"Granular, Least-Privileged Permissions for UserAuthenticationMethod APIs","New feature","MS Graph","Developer Experience","Type:New featureService category:MS GraphProduct capability:Developer Experience Summary We're introducing new, granular permissions for the UserAuthenticationMethod APIs in Microsoft Entra ID. This update enables organizations to apply the principle of least privilege when managing authentication methods, supporting both security and operational efficiency. What’s New? • New per-method permissions:Fine-grained permissions for each authentication method (for example, Password, Microsoft Authenticator, Phone, Email, Temporary Access Pass, Passkey, Windows Hello for Business, QR+PIN, and others). • Read-only policy permission:A new permission allows read-only access to authentication method policies, improving role separation and auditability. For more information, seeMicrosoft Graph permissions reference - Microsoft Graph | Microsoft Learn",,"October 2025","General Availability"
"Cloud Managed Remote Mailboxes","New feature","User Management","Microsoft Entra Cloud Sync","Type:New featureService category:User ManagementProduct capability:Microsoft Entra Cloud Sync The Source of Authority (SOA) at the object level allows administrators to convert specific users synced from Active Directory (AD) to Microsoft Entra ID into cloud-editable objects, which are no longer synced from AD and act as if originally created in the cloud. This feature supports a gradual migration process, decreasing dependencies on AD while aiming to minimize user and operational impact. Both Microsoft Entra Connect Sync and Cloud Sync recognize the SOA switch for these objects. The option to switch the SOA of synced users from AD to Microsoft Entra ID is currently available in Public Preview. For more information, see:Embrace cloud-first posture: Transfer user Source of Authority (SOA) to the cloud (Preview).",,"October 2025","Public Preview"
