"Title","Category","Service","Release Type","Release Date","State","Overview","Description","Url"
"Unified Entra App Gallery","Monitoring & Reporting","Other","Public Preview","12/1/2025","Available",,"Unified App Gallery provides organizations with a centralized platform to discover, analyze, and securely manage cloud and AI applications. This enhancement integrates Microsoft Defender for Applications (MDA) app risk insights with the Entra app catalog, enabling more efficient app discovery and security management. Customers can now filter applications using multiple criteria, view rich metadata, including descriptions, providers, domains, and privacy status, and evaluate security and compliance via over 90 attributes","https://learn.microsoft.com/graph/api/resources/applicationtemplate?view=graph-rest-beta&WT.mc_id=Portal-Microsoft_AAD_IAM"
"Synced passkeys in Microsoft Entra ID","User Authentication","Authentications (Logins)","Public Preview","12/1/2025","Available",,"Microsoft Entra ID now supports synced passkeys stored in native and third-party passkey providers. With this change, the passkey (FIDO2) authentication methods policy has been expanded to support group-based configurations enabling separate rollouts of different types of passkeys.","https://learn.microsoft.com/entra/identity/authentication/how-to-authentication-synced-passkeys?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Entra ID Protection for Agents","Identity Security & Protection","Identity Protection","Public Preview","12/1/2025","Available",,"As organizations adopt, build, and deploy autonomous AI agents, the need to monitor and protect those agents becomes critical. Microsoft Entra ID Protection helps protect your organization by automatically detecting and responding to identity-based risks on agents that use the Microsoft Entra Agent ID platform","https://learn.microsoft.com/entra/id-protection/concept-risky-agents?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Microsoft Entra ID with Entra Kerberos has added support for cloud-only identities which allows Entra-joined session hosts to authenticate and access cloud resources like Azure file shares and Azure virtual desktop","Authentications (Logins)","Other","Public Preview","12/1/2025","Available",,"Microsoft Entra ID with Entra Kerberos has added support for cloud-only identities which allows Entra-joined session hosts to authenticate and access cloud resources like Azure file shares and Azure virtual desktop without relying on traditional Active Directory infrastructure. This capability is essential for organizations adopting a cloud-only strategy, as it removes the need for domain controllers while preserving enterprise-grade security, access control, and encryption.","https://learn.microsoft.com/entra/identity/authentication/kerberos?WT.mc_id=Portal-Microsoft_AAD_IAM#cloud-only-identity-preview"
"New experience for Entra account registration page on Windows","Authentications (Logins)","Provisioning","Public Preview","12/1/2025","Available",,"We are introducing a new modernized user experience for the Entra account registration flow on Windows. The new user experience is updated to be consistent with Microsoft design patterns and splits the experience into two separate pages for registration and enrollment. We are also introducing a new admin property in public preview to control the MDM enrollment option in the account registration flow. This is targeted at customers who want to enable Windows MAM for their work or school accounts. The new setting controls the user experience screen for end users to MDM enroll in this flow","https://support.microsoft.com/windows/add-your-work-or-school-account-to-a-windows-device-a6505ceb-1a20-4b15-889c-250175481506?preview=true"
"User centric access reviews","Identity Governance","Entitlement Management","Public Preview","12/1/2025","Available",,"User centric access reviews (UAR) provide a user-centric review model that lets reviewers view a user’s access across multiple resources in a catalog in one unified view, streamlining the process of ensuring the right access at the right time. Resources include Entra groups, and both connected and disconnected (BYOD) applications, providing customers with a consolidated, holistic review experience.","https://learn.microsoft.com/entra/id-governance/catalog-access-reviews?WT.mc_id=Portal-Microsoft_AAD_IAM"
"User centric access reviews including disconnected applications","Identity Governance","Entitlement Management","Public Preview","12/1/2025","Available",,"This capability enables organizations to manage access reviews for applications that are not yet integrated with Microsoft Entra ID.","https://learn.microsoft.com/entra/id-governance/custom-data-resource-access-reviews?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Govern agent identities and lifecycle","Identity Governance","Entitlement Management","Public Preview","12/1/2025","Available",,"Keep your agent fleet secure and under control with Entra. Automate Agent ID lifecycles from deployment to expiration, assign sponsors to prevent orphaned identities, and use access packages to ensure permissions are intentional, auditable, and time-bound.","https://learn.microsoft.com/entra/id-governance/agent-id-governance-overview?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Entra agent registry","Monitoring & Reporting","Other","Public Preview","12/1/2025","Available",,"Microsoft Entra agent registry is a centralized metadata store of all deployed agents in an organization. As AI agents increasingly handle data retrieval, orchestration, and autonomous decision-making, enterprises face rising security, compliance, and governance risks without clear visibility or control. Entra agent registry, part of Entra agent id, solves this by providing an extensible repository that delivers a unified view of every agent across Microsoft and non-Microsoft ecosystems - enabling consistent discovery, governance, and secure collaboration at scale.","https://learn.microsoft.com/entra/agent-id/identity-platform/what-is-agent-registry?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Agent identity sponsor lifecycle support in Lifecycle Workflows","Identity Governance","Lifecycle Workflows","Public Preview","12/1/2025","Available",,"Managing agent identity sponsors is key for lifecycle governance and access control of agent identities. Sponsors oversee agent identities lifecycles and access. Lifecycle Workflows now automates and streamlines sponsor lifecycle management by notifying managers and co-sponsors when a sponsor changes roles or leaves the organization. Keeping sponsor information accurate and current ensures effective governance and compliance.","https://learn.microsoft.com/entra/id-governance/agent-sponsor-tasks?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Conditional Access for Agents","Identity Security & Protection","Conditional Access","Public Preview","12/1/2025","Available",,"Conditional Access for Agent ID is a new capability in Microsoft Entra ID that brings Conditional Access evaluation and enforcement to AI agents. This capability extends the same Zero Trust controls that already protect human users and apps to your agents. Conditional Access treats agents as first-class identities and evaluates their access requests the same way it evaluates requests for human users or workload identities, but with agent-specific logic.","https://learn.microsoft.com/entra/identity/conditional-access/agent-id?WT.mc_id=Portal-Microsoft_AAD_IAM"
"End user experience for managing agent identities","Identity Governance","Other","Public Preview","12/1/2025","Available",,"The Manage agents end user experiences lets you view, and control, agent identities you own or sponsor. With the manage agents feature, you can easily see which agents you’re responsible for, review their details, and take action to enable, disable, or request access for them.","https://learn.microsoft.com/entra/agent-id/identity-platform/manage-agent?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Soft Deletion for Cloud Security Groups","Directory","Other","Public Preview","12/1/2025","Available",,"Soft deletion for cloud security groups introduces a safety mechanism that allows administrators to recover deleted groups within a 30-day retention period. When a cloud security group is deleted, it is not immediately removed from the directory; instead, it enters a soft-deleted state, preserving its membership and configuration. This feature helps prevent accidental data loss and supports business continuity by enabling quick restoration of groups without requiring manual recreation. Administrators can restore soft-deleted groups through the Microsoft Entra admin center or Microsoft Graph API during the retention window.","https://learn.microsoft.com/entra/architecture/recover-from-deletions?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Passkey profiles in Microsoft Entra ID","User Authentication","Authentications (Logins)","Public Preview","12/1/2025","Available",,"Microsoft Entra ID now supports group-based passkey (FIDO2) configurations, enabling separate rollouts of different types of passkeys to different sets of user.","https://learn.microsoft.com/entra/identity/authentication/how-to-authentication-passkey-profiles?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Sign up Fraud Protection with Arkose Labs and HUMAN Security for Entra External ID","B2B/B2C","B2C - Consumer Identity Management","GA","12/1/2025","Available",,"Customers can now strengthen their identity security posture in minutes, not months. With this launch, Microsoft Entra introduces built-in integrations with leading third-party providers for edge protection and sign-up fraud defense and simplifies Azure Monitor and Sentinel setup to deliver end-to-end visibility, all from within Entra.","https://learn.microsoft.com/entra/external-id/customers/how-to-integrate-fraud-protection?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Seamless setup experience for Azure Monitor/Sentinel with external tenants","B2B/B2C","B2C - Consumer Identity Management","GA","12/1/2025","Available",,"This feature simplifies the previously complex monitoring setup by allowing admins to directly stream Entra External ID logs to Log Analytics with just a few clicks. Instead of manually configuring diagnostics or exporting data, organizations can now quickly enable monitoring, build custom dashboards, and set up alerts - all within Azure Monitor, making insights and troubleshooting much faster and easier.","https://learn.microsoft.com/entra/external-id/customers/how-to-azure-monitor?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Trigger workflows for inactive employees and guests in Lifecycle Workflows","Identity Governance","Lifecycle Workflows","GA","12/1/2025","Available",,"Lifecycle Workflows now enables customers to configure custom workflows to proactively manage dormant user accounts by automating identity lifecycle actions based on sign-in inactivity. By detecting inactivity, the workflow automatically executes predefined tasks, such as sending notifications, disabling accounts, or initiating offboarding, when users exceed the inactivity threshold. Admins can configure the inactivity threshold and scope, ensuring dormant accounts are handled efficiently and consistently - reducing security exposure, reducing license waste, and enforcing governance policies at scale.","https://learn.microsoft.com/entra/id-governance/lifecycle-workflow-inactive-users?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Groups Purview sensitivity label support in Lifecycle Workflows","Identity Governance","Lifecycle Workflows","GA","12/1/2025","Available",,"Customers can now view Purview sensitivity labels assigned to groups and Teams in Lifecycle Workflows. When configuring workflow tasks for managing group or Teams assignments, admins will now see actively assigned sensitivity labels to support informed group selection decisions. This helps customer achieve stronger organizational compliance.","https://learn.microsoft.com/entra/id-governance/workflow-sensitivity-labels?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Reprocess failed users and workflows in Lifecycle Workflows","Identity Governance","Lifecycle Workflows","GA","12/1/2025","Available",,"Lifecycle Workflows now supports reprocessing of your workflows to help organizations streamline the reprocessing of workflows when errors or failures are discovered. This feature includes the ability to reprocess previous runs of workflows including failed runs or just runs that you may want to process again.","https://learn.microsoft.com/entra/id-governance/reprocess-workflow?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Support for eligible group memberships and ownerships in Entitlement Management access packages","Identity Governance","Entitlement Management","GA","12/1/2025","Available",,"This integration between Entitlement Management and Privileged Identity Management (PIM) for Groups adds support for assigning eligible group memberships and ownerships via access packages. You are now able to govern these just-in-time access assignments at scale by offering a self-service access request & extension process and integrate them into your organizations role model.","https://learn.microsoft.com/entra/id-governance/entitlement-management-access-package-eligible?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Externally determine the approval requirements for an access package using custom extensions","Identity Governance","Entitlement Management","Public Preview","12/1/2025","Available",,"In Entitlement Management, approvers for access package assignment requests can either be directly assigned, or determined dynamically. Entitlement management natively supports dynamically determining approvers such as the requestors manager, their second-level manager, or a sponsor from a connected organization. With the introduction of this feature you can now use custom extensions for callouts to Azure Logic Apps and dynamically determine approval requirements for each access package assignment request based on your organizations specific business logic. The access package assignment request process will pause until your business logic hosted in Azure Logic Apps returns a approval stage which will then be leveraged in the subsequent approval process via the My Access portal.","https://learn.microsoft.com/entra/id-governance/entitlement-management-dynamic-approval?WT.mc_id=Portal-Microsoft_AAD_IAM"
"New SCIM 2.0 SAP CIS connector available, with support for group provisioning","Identity Governance","Provisioning","GA","12/1/2025","Available",,"An updated SCIM 2.0 SAP Cloud Identity Services (CIS) connector was released to the Microsoft Entra app gallery on September 30, 2025. It replaces our previous SAP CIS provisioning integration and now provides support for provisioning and deprovisioning groups to SAP CIS, custom extension attributes, and the OAuth 2.0 Client Credentials grant.","https://learn.microsoft.com/entra/identity/saas-apps/sap-cloud-platform-identity-authentication-provisioning-tutorial?WT.mc_id=Portal-Microsoft_AAD_IAM"
"External ID regional expansion to Australia and Japan","B2B/B2C","B2C - Consumer Identity Management","GA","12/1/2025","Available",,"We are expanding Microsoft Entra External ID to Australia and Japan with Go‑Local add‑on that keeps External ID data stored and processed in‑country. This premium add‑on is selectable when you create a new External ID tenant and is designed for organizations with strict data residency requirements. A small set of centralized platform services remains global (e.g., some MFA/RBAC functions), with no change to security or compliance posture.","https://learn.microsoft.com/entra/fundamentals/data-residency?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Self-remediation for passwordless users","Identity Security & Protection","Conditional Access","Public Preview","12/1/2025","Available",,"Risk-based access policies in Microsoft Entra Conditional Access now support self-remediation of risks across all authentication methods, including passwordless ones. This new control revokes compromised sessions in real-time, enables frictionless self-service, and reduces help-desk load.","https://learn.microsoft.com/entra/id-protection/concept-identity-protection-policies?WT.mc_id=Portal-Microsoft_AAD_IAM#require-risk-remediation-with-microsoft-managed-remediation-preview"
"Entra ID Account Recovery","User Authentication","Authentications (Logins)","Public Preview","12/1/2025","Available",,"Microsoft Entra ID Account Recovery is an advanced authentication recovery mechanism that enables users to regain access to their organizational accounts when they have lost access to all registered authentication methods. Unlike traditional password reset capabilities, account recovery focuses on identity verification and trust re-establishment prior to replacement of authentication methods rather than simple credential recovery.","https://learn.microsoft.com/entra/identity/authentication/concept-account-recovery-overview?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Microsoft Entra Agent ID","Access Control","Other","Public Preview","11/30/2025","Available","Enables enterprise-grade identity, access and governance for AI agents just like you do for human user identities.","With the public preview of Agent ID, Microsoft Entra Agent ID provides a unified registry of AI agents, applies Zero Trust controls (lifecycle, access, conditional risk) to them, and helps you govern and protect their access to resources with the same rigor used for your workforce.","https://learn.microsoft.com/entra/agent-id/?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Global Secure Access Internet profile support for iOS client","Access Control","Other","Public Preview","11/1/2025","Available",,"Kerberos SSO experience for users on mobile devices with Global Secure Access is now supported. Refer the documentation for more details.","https://learn.microsoft.com/intune/intune-service/configuration/ios-device-features-settings?WT.mc_id=Portal-Microsoft_AAD_IAM#single-sign-on-app-extension"
"Global Secure Access B2B support with AVD and W365","Access Control","Other","Public Preview","11/1/2025","Available",,"Guest access support for Global Secure Access (GSA) using W365 and AVD is now in public preview. This B2B support addresses secure access using GSA to external identities such as Guests, Partners, Contractors using Windows Cloud - Azure Virtual Desktop (AVD), and Windows 365 (W365). This feature empowers 3rd party users from a foreign tenant to securely access resources within a company’s tenant also known as the resource tenant. As a resource tenant administrator, you can enable Private Access, Internet Access, and Microsoft 365 traffic to these 3rd party users.","https://learn.microsoft.com/entra/global-secure-access/concept-b2b-guest-access?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Ability to convert Source of Authority of synced on-premises AD groups to cloud groups is now available","Directory","Other","GA","11/1/2025","Available",,"The Group SOA feature lets organizations move application access governance from on-premises to the cloud by transferring Active Directory group authority to Microsoft Entra ID using Connect Sync or Cloud Sync. With phased migration, admins can reduce AD dependencies gradually and minimize disruption. Microsoft Entra ID Governance manages access for both cloud and on-premises apps linked to security groups, and customers of either sync client can now use this feature.","https://learn.microsoft.com/entra/identity/hybrid/concept-source-of-authority-overview?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Prefetch Workday termination data to customize account disable logic","Identity Governance","Provisioning","Public Preview","11/1/2025","Available",,"This Workday connector update resolves termination processing delays observed for workers in APAC and ANZ regions. Admins can now enable termination lookahead setting to prefetch data and tailor deprovisioning logic for accounts in Microsoft Entra ID and on-premises Active Directory.","https://learn.microsoft.com/entra/identity/app-provisioning/configure-workday-termination-lookahead?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Cloud Managed Remote Mailboxes","User Management","User Management","Public Preview","11/1/2025","Available",,"The Source of Authority (SOA) at the object level allows administrators to convert specific users synced from Active Directory (AD) to Microsoft Entra ID into cloud-editable objects, which are no longer synced from AD and act as if originally created in the cloud. This feature supports a gradual migration process, decreasing dependencies on AD while aiming to minimize user and operational impact. Both Microsoft Entra Connect Sync and Cloud Sync recognize the SOA switch for these objects. The option to switch the SOA of synced users from AD to Microsoft Entra ID is currently available in Public Preview.","https://learn.microsoft.com/entra/identity/hybrid/user-source-of-authority-overview?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Granular, Least-Privileged Permissions for UserAuthenticationMethod APIs","Developer Experience","Other","GA","11/1/2025","Available",,"We're introducing new, granular permissions for the UserAuthenticationMethod APIs in Microsoft Entra ID. This update enables organizations to apply the principle of least privilege when managing authentication methods, supporting both security and operational efficiency.","https://learn.microsoft.com/graph/permissions-reference?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Conversion of external users to internal members","User Management","User Management","GA","11/1/2025","Available",,"External user conversion enables customers to convert external users to internal members without needing to delete and create new user objects. Maintaining the same underlying object ensures the user’s account and access to resources isn’t disrupted and that their history of activities remains intact as their relationship with the host organization changes. The external to internal user conversion feature includes the ability to convert on-premises synchronized users as well.","https://learn.microsoft.com/entra/fundamentals/whats-new?WT.mc_id=Portal-Microsoft_AAD_IAM#general-availability---conversion-of-external-users-to-internal-members"
"Suggested Access Packages can be shown to users in My Access","Entitlement Management","Entitlement Management","GA","11/1/2025","Available",,"In My Access, Microsoft Entra ID Governance users can see a curated list of suggested access packages in My Access. This capability allows users to quickly view the most relevant access packages for them based off their peers' access packages and previous assignments without scrolling through all their available access packages. The suggested access packages list is created by finding people related to the user (manager, direct reports, organization, team members) and recommending access packages based on what the users’ peers have. The user is also suggested access packages that were previously assigned to them. We recommend admins turn on the peer-based insights for suggested access packages via this setting.","https://learn.microsoft.com/entra/id-governance/entitlement-management-suggested-access-packages?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Sign-in with username/alias","Identity Governance","Lifecycle Workflows","Public Preview","10/31/2025","Available",,"In Microsoft Entra External ID (EEID), users with a local email+password credential can sign in with email address as identifier. We are adding the ability for these users to sign in with an alternative identifier such as customer/member id, for example insurance number, frequent flier number assigned via Graph API or Microsoft Entra admin center.","https://learn.microsoft.com/entra/id-governance/workflow-custom-triggers?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Expanded attribute support in Lifecycle Workflows attribute changes trigger","Identity Governance","Lifecycle Workflows","Public Preview","10/31/2025","Available",,"The Attribute Changes trigger in Lifecycle Workflows now supports additional attribute types, enabling broader detection of organizational changes. Previously, this trigger was limited to a set of core attributes. With this update, you can configure workflows to respond when any of the following attributes change: Custom security attributes, Directory extension attributes, EmployeeOrgData attributes, On-premises attributes 1–15. This enhancement gives administrators greater flexibility to automate lifecycle processes for mover events based on custom or extended attributes, improving governance for complex organizational structures and hybrid environments.","https://learn.microsoft.com/entra/id-governance/workflow-custom-triggers?WT.mc_id=Portal-Microsoft_AAD_IAM"
"App-based branding via Branding themes in Microsoft Entra External ID","B2B/B2C","B2C - Consumer Identity Management","Public Preview","10/31/2025","Available",,"In Microsoft Entra External ID (EEID), customers can create a single, tenant-wide, customized branding experience that applies to all apps. We're introducing a concept of Branding ""themes"" to allow customers to create different branding experiences for specific applications.","https://learn.microsoft.com/entra/external-id/customers/how-to-customize-branding-themes-apps?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Delegated Workflow Management in Lifecycle Workflows","Identity Governance","Lifecycle Workflows","Public Preview","10/31/2025","Available",,"Lifecycle workflows can now be managed with Administrative Units (AUs), enabling organizations to segment workflows and delegate administration to specific admins. This enhancement ensures that only authorized admins can view, configure, and execute workflows relevant to their scope. Customers are able to associate workflows with AUs, assign scoped permissions to delegated admins, and ensure that workflows only impact users within their defined scope.","https://learn.microsoft.com/entra/id-governance/manage-delegate-workflow?WT.mc_id=Portal-Microsoft_AAD_IAM"
